DBMSTable,SiteName
3000STL230,SYPJCC-GF-LVMCCB-E-PAMP2
3000STL231,SYPJCC-GF-LVMCCB-E-PAMP3
3000STL232,SYPJCC-GF-LVMCCB-E-NAMP
3000STL233,SYPJCC-GF-LVMCCB-E-CU
3000STL234,SYPJCC-GF-LVMCCB-E-TRMS1
3000STL235,SYPJCC-GF-LVMCCB-E-TRMS2
3000STL236,SYPJCC-GF-LVMCCB-E-TRMS3
3000STL237,SYPJCC-GF-LVMCCB-E-KW1
3000STL238,SYPJCC-GF-LVMCCB-E-KW2
3000STL239,SYPJCC-GF-LVMCCB-E-KW3
3000STL240,SYPJCC-GF-LVMCCB-E-KW
3000STL241,SYPJCC-GF-LVMCCB-E-KVAR1
3000STL242,SYPJCC-GF-LVMCCB-E-KVAR2
3000STL243,SYPJCC-GF-LVMCCB-E-KVAR3
3000STL244,SYPJCC-GF-LVMCCB-E-KVAR
3000STL245,SYPJCC-GF-LVMCCB-E-KVA1
3000STL246,SYPJCC-GF-LVMCCB-E-KVA2
3000STL247,SYPJCC-GF-LVMCCB-E-KVA3
3000STL248,SYPJCC-GF-LVMCCB-E-KVA
3000STL249,SYPJCC-GF-LVMCCB-E-HZ
3000STL250,SYPJCC-GF-LVMCCB-E-PF
3000STL251,SYPJCC-GF-LVMCCB-E-THDV1
3000STL252,SYPJCC-GF-LVMCCB-E-THDV2
3000STL253,SYPJCC-GF-LVMCCB-E-THDV3
3000STL254,SYPJCC-GF-LVMCCB-E-THDAMP1
3000STL255,SYPJCC-GF-LVMCCB-E-THDAMP2
3000STL256,SYPJCC-GF-LVMCCB-E-THDAMP3
3000STL257,SYPJCC-GF-LVMCCB-E-HHD
3000STL258,SYPJCC-GF-LVMCCB-E-KWH
3000STL259,SYPJCC-GF-LVMCCB-E-HNAMP
3000STL260,SYPJCC-GF-LVMCCB-E
3000STL261,SYPJCC-GF-LVMCCB-E-MAXCDTH
3000STL262,SYPJCC-GF-LVMCCB-E-MINCDTH
3000STL263,SYPJCC-GF-LVMACB-A-PAMP1
3000STL264,SYPJCC-GF-LVMACB-A-PAMP2
3000STL265,SYPJCC-GF-LVMACB-A-PAMP3
3000STL266,SYPJCC-GF-LVMACB-A-NAMP
3000STL267,SYPJCC-GF-LVMCCB-A-CU
3000STL268,SYPJCC-GF-LVMACB-A-TRMS1
3000STL269,SYPJCC-GF-LVMACB-A-TRMS2
3000STL270,SYPJCC-GF-LVMACB-A-TRMS3
3000STL271,SYPJCC-GF-LVMACB-A-KW1
3000STL272,SYPJCC-GF-LVMACB-A-KW2
3000STL273,SYPJCC-GF-LVMACB-A-KW3
3000STL274,SYPJCC-GF-LVMACB-A-KW
3000STL275,SYPJCC-GF-LVMACB-A-KVAR1
3000STL276,SYPJCC-GF-LVMACB-A-KVAR2
3000STL277,SYPJCC-GF-LVMACB-A-KVAR3
3000STL278,SYPJCC-GF-LVMACB-A-KVAR
3000STL279,SYPJCC-GF-LVMACB-A-KVA1
3000STL280,SYPJCC-GF-LVMACB-A-KVA2
3000STL281,SYPJCC-GF-LVMACB-A-KVA3
3000STL282,SYPJCC-GF-LVMACB-A-KVA
3000STL283,SYPJCC-GF-LVMACB-A-HZ
3000STL284,SYPJCC-GF-LVMACB-A-PF
3000STL285,SYPJCC-GF-LVMACB-A-THDV1
3000STL286,SYPJCC-GF-LVMACB-A-THDV2
3000STL287,SYPJCC-GF-LVMACB-A-THDV3
3000STL288,SYPJCC-GF-LVMACB-A-THDAMP1
3000STL289,SYPJCC-GF-LVMACB-A-THDAMP2
3000STL290,SYPJCC-GF-LVMACB-A-THDAMP3
3000STL291,SYPJCC-GF-LVMCCB-A-HHD
3000STL292,SYPJCC-GF-LVMACB-A-KWH
3000STL293,SYPJCC-GF-LVMACB-A-HNAMP
3000STL294,SYPJCC-GF-LVMACB-A
3000STL295,SYPJCC-GF-LVMACB-A-MAXCDTH
3000STL296,SYPJCC-GF-LVMACB-A-MINCDTH
3000STL297,SYPJCC-RF-OUT
3000STL298,SYPJCC-RF-OURH
3000STL299,SYPJCC-RF-OUEN
3000STL300,SYPJCC-RF-OUWETBT
4000STL1,SYPJCC-GF-LVMCB-A5-PAMP1
4000STL2,SYPJCC-GF-LVMCB-A5-PAMP2
4000STL3,SYPJCC-GF-LVMCB-A5-PAMP3
